"","metric","value","shuffle"
"381","Mean Edge Betweeness",12465.173131546,TRUE
"382","Mean Edge Betweeness",11166.6989468416,TRUE
"383","Mean Edge Betweeness",14523.8439199287,TRUE
"384","Mean Edge Betweeness",12931.7128594677,TRUE
"385","Mean Edge Betweeness",11701.9464807667,TRUE
"386","Mean Edge Betweeness",16807.2851336168,TRUE
"387","Mean Edge Betweeness",9737.22362346424,TRUE
"388","Mean Edge Betweeness",20485.267696429,TRUE
"389","Mean Edge Betweeness",10333.9004326378,TRUE
"390","Mean Edge Betweeness",17246.8630555366,TRUE
"391","Mean Edge Betweeness",18463.1230965591,TRUE
"392","Mean Edge Betweeness",12407.6514772268,TRUE
"393","Mean Edge Betweeness",18515.4820835418,TRUE
"394","Mean Edge Betweeness",16588.3682131414,TRUE
"395","Mean Edge Betweeness",14387.0229455693,TRUE
"396","Mean Edge Betweeness",14561.570729497,TRUE
"397","Mean Edge Betweeness",12274.7270455378,TRUE
"398","Mean Edge Betweeness",16951.034472839,TRUE
"399","Mean Edge Betweeness",17898.800583525,TRUE
"400","Mean Edge Betweeness",12559.6049027267,TRUE
"401","Mean Edge Betweeness",13380.2896960355,TRUE
"402","Mean Edge Betweeness",12300.5930406394,TRUE
"403","Mean Edge Betweeness",12557.3474542407,TRUE
"404","Mean Edge Betweeness",18731.1516286263,TRUE
"405","Mean Edge Betweeness",13930.4084424659,TRUE
"406","Mean Edge Betweeness",12496.0761086912,TRUE
"407","Mean Edge Betweeness",14967.2680897515,TRUE
"408","Mean Edge Betweeness",19063.1019476509,TRUE
"409","Mean Edge Betweeness",9268.7749095081,TRUE
"410","Mean Edge Betweeness",13160.1437030597,TRUE
"411","Mean Edge Betweeness",11390.1848432123,TRUE
"412","Mean Edge Betweeness",10289.5175943336,TRUE
"413","Mean Edge Betweeness",21494.3560858411,TRUE
"414","Mean Edge Betweeness",11395.0696075032,TRUE
"415","Mean Edge Betweeness",19477.9308696088,TRUE
"416","Mean Edge Betweeness",9834.65550334261,TRUE
"417","Mean Edge Betweeness",13602.3789732026,TRUE
"418","Mean Edge Betweeness",17526.8303020445,TRUE
"419","Mean Edge Betweeness",16811.711150433,TRUE
"420","Mean Edge Betweeness",8857.393048304,TRUE
"421","Mean Edge Betweeness",16812.8662491551,TRUE
"422","Mean Edge Betweeness",14554.3258928543,TRUE
"423","Mean Edge Betweeness",12204.2660446646,TRUE
"424","Mean Edge Betweeness",23258.8486549097,TRUE
"425","Mean Edge Betweeness",11612.7215899789,TRUE
"426","Mean Edge Betweeness",19749.7947737084,TRUE
"427","Mean Edge Betweeness",13877.2831793717,TRUE
"428","Mean Edge Betweeness",15818.4159487828,TRUE
"429","Mean Edge Betweeness",13788.2738103291,TRUE
"430","Mean Edge Betweeness",18343.8662006589,TRUE
"431","Mean Edge Betweeness",12006.5290547901,TRUE
"432","Mean Edge Betweeness",15360.6978320633,TRUE
"433","Mean Edge Betweeness",11333.6369454074,TRUE
"434","Mean Edge Betweeness",9765.75693192314,TRUE
"435","Mean Edge Betweeness",16199.41852063,TRUE
"436","Mean Edge Betweeness",19815.1616464377,TRUE
"437","Mean Edge Betweeness",16452.1918726631,TRUE
"438","Mean Edge Betweeness",24310.5069978379,TRUE
"439","Mean Edge Betweeness",12059.2202572544,TRUE
"440","Mean Edge Betweeness",19148.8207798524,TRUE
"441","Mean Edge Betweeness",10538.5959830139,TRUE
"442","Mean Edge Betweeness",16782.8259745971,TRUE
"443","Mean Edge Betweeness",15933.2443927727,TRUE
"444","Mean Edge Betweeness",18103.2365530059,TRUE
"445","Mean Edge Betweeness",12651.0527376738,TRUE
"446","Mean Edge Betweeness",13566.8975325581,TRUE
"447","Mean Edge Betweeness",10545.7201389912,TRUE
"448","Mean Edge Betweeness",11697.0225853828,TRUE
"449","Mean Edge Betweeness",17308.8929722659,TRUE
"450","Mean Edge Betweeness",18466.7194299673,TRUE
"451","Mean Edge Betweeness",19742.6174870795,TRUE
"452","Mean Edge Betweeness",15611.1038387095,TRUE
"453","Mean Edge Betweeness",8564.56049648927,TRUE
"454","Mean Edge Betweeness",16573.6464105005,TRUE
"455","Mean Edge Betweeness",15711.4364061927,TRUE
"456","Mean Edge Betweeness",19837.8994510835,TRUE
"457","Mean Edge Betweeness",12839.0934214346,TRUE
"458","Mean Edge Betweeness",19160.8629731468,TRUE
"459","Mean Edge Betweeness",19315.4884190782,TRUE
"460","Mean Edge Betweeness",18030.1260282815,TRUE
"461","Mean Edge Betweeness",15062.0796174557,TRUE
"462","Mean Edge Betweeness",14825.0965063832,TRUE
"463","Mean Edge Betweeness",16485.2377760824,TRUE
"464","Mean Edge Betweeness",16758.9971079618,TRUE
"465","Mean Edge Betweeness",18536.3221117244,TRUE
"466","Mean Edge Betweeness",24458.6709897035,TRUE
"467","Mean Edge Betweeness",9985.91292257067,TRUE
"468","Mean Edge Betweeness",15619.4122314496,TRUE
"469","Mean Edge Betweeness",18808.4373774305,TRUE
"470","Mean Edge Betweeness",10631.634042342,TRUE
"471","Mean Edge Betweeness",8439.49691846763,TRUE
"472","Mean Edge Betweeness",18688.037447347,TRUE
"473","Mean Edge Betweeness",13245.2229957403,TRUE
"474","Mean Edge Betweeness",12779.4434487654,TRUE
"475","Mean Edge Betweeness",20552.5534468451,TRUE
"476","Mean Edge Betweeness",15052.2256682365,TRUE
"477","Mean Edge Betweeness",14192.218236978,TRUE
"478","Mean Edge Betweeness",23962.3849422501,TRUE
"479","Mean Edge Betweeness",7825.15495682282,TRUE
"480","Mean Edge Betweeness",16896.5108950968,TRUE
"481","Mean Edge Betweeness",13117.2928067828,TRUE
"482","Mean Edge Betweeness",17472.2517130499,TRUE
"483","Mean Edge Betweeness",16083.6394674392,TRUE
"484","Mean Edge Betweeness",17427.1814598602,TRUE
"485","Mean Edge Betweeness",10183.7290314291,TRUE
"486","Mean Edge Betweeness",16554.0790185153,TRUE
"487","Mean Edge Betweeness",22430.521115158,TRUE
"488","Mean Edge Betweeness",15614.2845878192,TRUE
"489","Mean Edge Betweeness",19673.4630875321,TRUE
"490","Mean Edge Betweeness",18685.2589458306,TRUE
"491","Mean Edge Betweeness",17678.5615805899,TRUE
"492","Mean Edge Betweeness",15624.5209283066,TRUE
"493","Mean Edge Betweeness",14378.0523356604,TRUE
"494","Mean Edge Betweeness",14889.0307481423,TRUE
"495","Mean Edge Betweeness",17546.8946657868,TRUE
"496","Mean Edge Betweeness",22666.2725934389,TRUE
"497","Mean Edge Betweeness",9603.59615911135,TRUE
"498","Mean Edge Betweeness",16707.2459507675,TRUE
"499","Mean Edge Betweeness",14981.4978659653,TRUE
"500","Mean Edge Betweeness",15444.0313341573,TRUE
